width,Height,t,kg/m
20,20,3,0.89
25,25,3,1.13
25,25,4,1.47
25,25,5,1.79
30,30,3,1.39
30,30,4,1.8
30,30,5,2.2
35,35,3,1.62
35,35,3.5,1.87
35,35,4,2.12
35,35,5,2.6
38,38,4.5,2.58
38,38,6,3.35
40,40,3,1.87
40,40,4,2.44
40,40,5,3
40,40,6,3.54
45,45,3,2.12
45,45,4,2.77
45,45,4.5,3.09
45,45,5,3.4
45,45,6,4.02
45,45,7,4.63
50,50,3,2.35
50,50,4,3.08
50,50,5,3.8
50,50,6,4.5
50,50,7,5.18
50,50,8,5.85
50,50,9,6.5
55,55,4,3.42
55,55,5,4.21
55,55,6,4.99
60,60,4,3.73
60,60,5,4.61
60,60,6,5.46
60,60,7,6.3
60,60,8,7.12
60,60,9,7.93
60,60,10,8.73
63,63,5,4.86
63,63,6,5.77
63,63,6.5,6.21
65,65,4,4.07
65,65,5,5.02
65,65,6,5.96
65,65,7,6.87
65,65,8,7.78
65,65,9,8.66
65,65,10,9.53
65,65,11,10.39
70,70,5,5.41
70,70,6,6.43
70,70,7,7.42
70,70,8,8.43
70,70,9,9.37
70,70,10,10.32
75,75,4,4.7
75,75,5,5.81
75,75,6,6.9
75,75,7,7.97
75,75,8,9.03
75,75,9,10.08
75,75,10,11.1
76,76,5,5.88
76,76,6.5,7.53
76,76,8,9.16
76,76,9.5,10.74
80,80,5,6.22
80,80,6,7.39
80,80,7,8.55
80,80,8,9.68
80,80,9,10.81
80,80,10,11.91
90,90,5,7.03
90,90,6,8.36
90,90,7,9.67
90,90,8,10.96
90,90,9,12.24
90,90,10,13.51
90,90,11,14.76
90,90,16,20.76
100,100,6,9.33
100,100,7,10.8
100,100,8,12.25
100,100,9,13.69
100,100,10,15.11
100,100,11,16.51
100,100,12,17.9
100,100,13,19.28
100,100,14,20.63
100,100,15,21.98
100,100,16,23.3
110,110,6,10.27
110,110,7,11.9
110,110,8,13.51
110,110,9,15.1
110,110,10,16.71
110,110,11,18.27
110,110,12,19.82
120,120,7,13.03
120,120,8,14.79
120,120,9,16.54
120,120,10,18.28
120,120,11,20
120,120,12,21.7
120,120,13,23.39
120,120,14,25.06
120,120,15,26.72
120,120,16,28.36
130,130,8,16.08
130,130,9,17.99
130,130,10,19.88
130,130,11,21.76
130,130,12,23.62
130,130,13,25.46
130,130,14,27.29
130,130,15,29.1
130,130,16,30.9
140,140,9,19.44
140,140,10,21.49
140,140,11,23.52
140,140,12,25.54
140,140,13,27.54
140,140,14,29.53
140,140,15,31.5
140,140,16,33.45
140,140,18,37.32
150,150,10,23.1
150,150,11,25.29
150,150,12,27.46
150,150,13,29.62
150,150,14,31.77
150,150,15,33.89
150,150,16,36.01
150,150,17,38.1
150,150,18,40.18
150,150,19,42.25
150,150,20,44.29
160,160,12,29.39
160,160,13,31.7
160,160,14,34
160,160,15,36.29
160,160,16,38.56
160,160,17,40.81
160,160,18,43.05
160,160,19,45.27
160,160,20,47.47
180,180,13,35.83
180,180,14,38.45
180,180,15,41.04
180,180,16,43.63
180,180,17,46.19
180,180,18,48.75
180,180,19,51.28
180,180,20,53.8
200,200,13,39.91
200,200,14,42.84
200,200,15,45.75
200,200,16,48.65
200,200,17,51.53
200,200,18,54.4
200,200,19,57.25
200,200,20,60.08
200,200,21,62.9
200,200,22,65.7
200,200,23,68.49
200,200,24,71.26
200,200,25,74.01
200,200,26,76.75
200,200,27,79.48
200,200,28,82.19
250,250,17,64.89
250,250,18,68.53
250,250,19,72.16
250,250,20,75.78
250,250,21,79.38
250,250,22,82.97
250,250,23,86.54
250,250,24,90.1
250,250,25,93.64
250,250,26,97.16
250,250,27,100.67
250,250,28,104.17
250,250,29,107.64
250,250,30,111.11
250,250,31,114.55
250,250,32,117.98
250,250,33,121.4
250,250,34,124.8
250,250,35,128.18
300,300,25,113.15
300,300,26,117.46
300,300,27,121.76
300,300,28,126.04
300,300,29,130.3
300,300,30,134.55
300,300,31,138.78
300,300,32,142.99
300,300,33,147.19
300,300,34,151.38
300,300,35,155.54
30,20,3,1.14
30,20,4,1.47
40,20,4,1.79
40,25,4,1.94
45,30,4,2.27
50,30,5,2.99
60,30,5,3.38
60,40,5,3.78
60,40,6,4.48
65,50,6,5.19
70,50,6,5.44
75,50,6,5.67
75,50,8,7.42
80,40,6,5.44
80,40,8,7.1
80,60,7,7.4
100,50,6,6.87
100,50,8,9.01
100,65,7,8.82
100,65,8,10
100,65,9,11.16
100,65,10,12.31
100,65,11,13.44
100,65,12,14.55
100,75,8,10.63
100,75,10,13.09
100,75,12,15.49
110,70,10,13.48
110,70,12,15.96
120,80,8,12.22
120,80,10,15.08
120,80,12,17.87
125,75,8,12.22
125,75,10,15.08
125,75,12,17.87
130,90,10,16.65
130,90,12,19.76
130,90,14,22.8
135,65,8,12.22
135,65,10,15.08
140,90,8,14.1
140,90,10,17.43
140,90,12,20.7
140,90,14,23.9
150,75,9,15.45
150,75,10,17.07
150,75,12,20.26
150,75,15,24.92
150,90,10,18.25
150,90,11,19.97
150,90,13,23.36
150,90,15,26.69
150,100,10,19.03
150,100,12,22.61
150,100,14,26.13
200,100,10,23.06
200,100,12,27.43
200,100,14,31.73
200,100,15,33.85
200,100,16,35.97
200,150,12,32.14
200,150,15,39.74