Dimension,UPN,UPE,IPE,IPN,HEM,HEB,HEA
30,4.27,,,,,,
40x20,2.86,,,,,,
40,4.87,,,,,,
50,5.59,,,,,,
65,7.09,,,,,,
80,8.64,7.9,6,5.94,,,
100,10.6,9.82,8.1,8.34,41.8,20.4,16.7
120,13.4,12.1,10.4,11.1,52.1,26.7,19.9
140,16,14.5,12.9,14.3,63.2,33.7,24.7
160,18.8,17,15.8,17.9,76.2,42.6,30.4
180,22,19.7,18.8,21.9,88.9,51.2,35.5
200,25.3,22.8,22.4,26.2,103,61.3,42.3
220,29.4,26.6,26.2,31.1,117,71.5,50.5
240,33.2,30.2,30.7,36.2,157,83.2,60.3
260,37.9,,,41.9,172,93,68.2
270,,35.2,36.1,,,,
280,41.8,,,47.9,189,103,76.4
300,46.2,44.4,42.2,54.2,238,117,88.3
320,59.5,,,61,246,127,97.6
330,,53.2,49.1,,,,
340,,,,68,248,134,105
350,60.6,,,,,,
360,,61.2,57.1,76.1,250,142,112
380,63.1,,,84,,,
400,71.8,72.2,66.3,92.4,256,155,125
450,,,77.6,115,263,171,140
500,,,90.7,141,270,187,155
550,,,106,166,278,199,166
600,,,122,199,285,212,178
650,,,,,293,225,190
700,,,,,301,241,204
800,,,,,317,262,224
900,,,,,333,291,252
1000,,,,,349,314,272